
experiment_id,run_date,model_architecture,dataset_name,dataset_version,learning_rate,batch_size,epochs,accuracy,precision,recall,f1_score,training_time_minutes,hardware_used,environment_details,notes
exp_0001,2023-08-17,XGBoost,ImageNet,3.0,0.00031,128,81,0.9659,0.9891,0.9758,0.9824,968,Cloud TPU,Windows 10 Python3.8,optimizer comparison
exp_0002,2023-02-21,SVM,ImageNet,1.0,4e-05,256,39,0.5764,0.5322,0.613,0.5697,1584,Edge Device,Windows 10 Python3.8,tuned hyperparameters
exp_0003,2024-07-17,Transformer,IMDB,2.0,0.00254,128,5,0.847,0.7991,0.894,0.8439,1963,Edge Device,AWS EC2 Python3.10,regularization test
exp_0004,2024-05-16,XGBoost,SVHN,2.0,0.02137,256,18,0.604,0.5722,0.5723,0.5722,1792,Edge Device,Windows 10 Python3.8,optimizer comparison
exp_0005,2024-04-02,XGBoost,CIFAR10,2.0,0.00016,64,25,0.7571,0.7503,0.7362,0.7432,1114,Cloud TPU,Ubuntu 20.04 Python3.8,loss function experiment
exp_0006,2023-10-13,Transformer,IMDB,1.0,0.0028,16,51,0.5684,0.5476,0.555,0.5513,1809,TPU,Ubuntu 22.04 Python3.9,baseline
exp_0007,2023-07-29,ResNet,Custom,1.0,0.00067,16,98,0.8847,0.8547,0.8861,0.8701,1005,CPU,GCP Container Python3.7,data augmentation
exp_0008,2023-06-28,ResNet,COCO,3.0,0.00234,256,26,0.5228,0.5336,0.4899,0.5108,552,Cloud TPU,GCP Container Python3.7,batch normalization experiment
exp_0009,2025-05-14,ResNet,Custom,2.0,2e-05,64,56,0.965,1.0,0.9958,0.9979,1385,Edge Device,Windows 10 Python3.8,feature scaling applied
exp_0010,2023-03-07,XGBoost,IMDB,1.0,0.00017,32,33,0.5479,0.5663,0.5419,0.5538,141,TPU,Ubuntu 20.04 Python3.8,loss function experiment
exp_0011,2023-03-03,XGBoost,CIFAR10,4.2,3e-05,32,5,0.7426,0.696,0.7835,0.7372,155,Edge Device,AWS EC2 Python3.10,baseline
exp_0012,2023-07-11,ResNet,ImageNet,1.0,0.00011,64,14,0.8246,0.8058,0.8266,0.8161,1062,GPU,Windows 10 Python3.8,feature scaling applied
exp_0013,2024-03-23,ResNet,Custom,2.0,0.00154,256,78,0.5906,0.6376,0.6181,0.6277,978,GPU,MacOS 12 Python3.9,batch normalization experiment
exp_0014,2024-04-21,ResNet,ImageNet,1.0,0.05728,128,50,0.9385,0.9483,0.9807,0.9642,877,Multi-GPU,MacOS 12 Python3.9,baseline
exp_0015,2025-10-31,RandomForest,COCO,1.0,2e-05,16,56,0.596,0.5505,0.5785,0.5642,1501,TPU,Ubuntu 20.04 Python3.8,transfer learning
exp_0016,2023-02-24,ResNet,CIFAR10,4.2,0.00036,128,22,0.633,0.6659,0.6187,0.6414,874,GPU,Windows 10 Python3.8,feature scaling applied
exp_0017,2024-02-12,ResNet,SVHN,1.0,0.00013,128,75,0.7659,0.73,0.7961,0.7616,210,CPU,AWS EC2 Python3.10,optimizer comparison
exp_0018,2025-05-09,SVM,ImageNet,1.0,2e-05,32,26,0.9836,1.0,0.9535,0.9762,842,Multi-GPU,MacOS 12 Python3.9,transfer learning
exp_0019,2024-03-27,SVM,IMDB,1.0,1e-05,32,53,0.8996,0.9203,0.9225,0.9214,14,Multi-GPU,Windows 10 Python3.8,feature scaling applied
exp_0020,2025-07-08,Transformer,IMDB,4.2,0.01216,128,24,0.5363,0.5221,0.4979,0.5097,398,TPU,Ubuntu 22.04 Python3.9,baseline
exp_0021,2024-07-23,XGBoost,COCO,4.2,0.02834,16,100,0.8054,0.7885,0.7618,0.7749,652,CPU,Ubuntu 20.04 Python3.8,loss function experiment
exp_0022,2023-01-14,LSTM,Custom,4.2,0.00018,32,12,0.6593,0.6823,0.6731,0.6777,1977,Cloud TPU,Ubuntu 20.04 Python3.8,data augmentation
exp_0023,2023-11-23,CNN,Custom,1.0,0.03539,32,56,0.7314,0.6934,0.7527,0.7218,255,Cloud TPU,Ubuntu 22.04 Python3.9,loss function experiment
exp_0024,2025-05-15,XGBoost,ImageNet,4.2,0.01104,16,58,0.775,0.8021,0.7744,0.788,1356,Cloud TPU,GCP Container Python3.7,optimizer comparison
exp_0025,2024-11-27,Transformer,MNIST,2.0,0.00123,64,35,0.7095,0.662,0.6703,0.6661,553,Multi-GPU,Ubuntu 22.04 Python3.9,regularization test
exp_0026,2024-07-23,LSTM,MNIST,1.0,1e-05,16,63,0.8118,0.7932,0.8127,0.8028,1282,Cloud TPU,Ubuntu 20.04 Python3.8,tuned hyperparameters
exp_0027,2023-11-15,XGBoost,CIFAR10,4.2,0.04268,64,21,0.6222,0.6132,0.6478,0.63,1921,TPU,Ubuntu 20.04 Python3.8,transfer learning
exp_0028,2024-03-16,Transformer,MNIST,2.0,8e-05,128,74,0.5377,0.5167,0.5038,0.5102,1450,TPU,GCP Container Python3.7,optimizer comparison
exp_0029,2024-11-20,CNN,COCO,4.2,0.05233,64,89,0.896,0.9093,0.9331,0.921,222,GPU,Windows 10 Python3.8,tuned hyperparameters
exp_0030,2023-07-29,CNN,COCO,4.2,0.01639,32,39,0.5914,0.6307,0.5953,0.6125,587,Cloud TPU,Ubuntu 22.04 Python3.9,with dropout
exp_0031,2023-07-09,ResNet,COCO,2.1,0.01697,256,67,0.9391,0.9209,0.9001,0.9104,524,CPU,Ubuntu 20.04 Python3.8,batch normalization experiment
exp_0032,2025-02-17,SVM,MNIST,1.0,8e-05,16,47,0.7093,0.7411,0.7454,0.7432,1589,GPU,AWS EC2 Python3.10,regularization test
exp_0033,2023-07-18,ResNet,COCO,3.0,1e-05,256,95,0.7503,0.742,0.7225,0.7321,885,Cloud TPU,Ubuntu 20.04 Python3.8,tuned hyperparameters
